memory	min	max	mean	sstdev   
   128	3001.01	10450.78	7935.6063	3256.2320344706
   192	3000.11	6952.83	5573.8957	1701.6498738484
   256	3000.61	5245.3	4426.6759	945.70408936015
   320	3000.47	4494.92	3712.9086	480.04802410647
   384	3000.53	3904.63	3228.8366	183.35724265152
   448	2621.3	3003.31	2885.9706	112.36530765896
   512	2269.18	2604.81	2504.3341	80.455624234102
   576	2081.46	2326.49	2237.709	55.097036630426
   640	1904.89	2069.99	2016.4533	44.367618049927
   704	1713.38	1877.5	1829.5894	41.276714785394
   768	1564.92	1727.36	1679.7336	34.334527473202
   832	1427.63	1587.1	1546.2559	39.962233840531
   896	1321.59	1484.06	1438.0431	35.145737638173
   960	1236.38	1481.55	1340.8897	37.069090651475
  1024	1162.81	1347.85	1258.9367	31.85923363466
  1088	1094.01	1409.83	1187.7633	36.408821360192
  1152	1026.12	1185.37	1115.7696	31.037877801555
  1216	976.31	1090.08	1057.3625	27.015196037031
  1280	930.57	1143.32	1006.6163	29.690574760453
  1344	883.66	1126.23	962.1384	28.602906743578
  1408	846.55	938.79	915.182	20.839842134767
  1472	813.88	943.67	892.8046	21.582735825121
  1536	817.77	978.29	862.4818	19.140438411537
  1600	766.74	918.02	824.4562	20.273283996432
  1664	754.49	843.99	804.8531	19.96859295079
  1728	732.68	840.46	799.0838	23.00475479091
  1792	738.24	843.02	792.867	28.09364486531
  1856	676.54	842.73	784.9241	45.456639503371
  1920	684.7	842.71	787.0235	47.376128847722
  1984	685.64	848.84	786.838	47.439545793046
  2048	683.92	847.95	784.0749	47.270177744856
  2112	681.11	847.67	793.2913	38.018518976436
  2176	668.57	838.26	783.6352	47.121944521795
  2240	670.63	849.99	787.01	48.075066596759
  2304	668.56	854.77	768.8548	59.883440797751
  2368	666.98	841.72	786.9664	49.060118706696
  2432	670.24	846.8	763.6157	56.326999881643
  2496	684.59	838.51	780.1577	44.356753960691
  2560	673.01	908.11	769.2397	60.128025373054
  2624	668.88	854.33	795.439	39.758556985074
  2688	669.41	842.56	765.3316	57.196403004088
  2752	683.71	902.19	770.5524	60.526736710383
  2816	669.08	845.12	782.3667	46.900907338793
  2880	666.96	845.42	774.8392	53.368037301499
  2944	672.89	839.27	771.4477	50.380980755929
  3008	684.99	842.87	771.2135	49.182884461872
